1 epoch, training accuracy: 20.25%, loss = 0.0696
126 epoch, training accuracy: 57.68%, loss = 0.0382
127 epoch, training accuracy: 57.81%, loss = 0.0380
128 epoch, training accuracy: 57.98%, loss = 0.0383
129 epoch, training accuracy: 56.75%, loss = 0.0384
130 epoch, training accuracy: 57.91%, loss = 0.0382
131 epoch, training accuracy: 57.93%, loss = 0.0382
132 epoch, training accuracy: 58.35%, loss = 0.0383
133 epoch, training accuracy: 57.05%, loss = 0.0384
134 epoch, training accuracy: 58.02%, loss = 0.0383
135 epoch, training accuracy: 58.40%, loss = 0.0379
136 epoch, training accuracy: 57.53%, loss = 0.0381
137 epoch, training accuracy: 57.44%, loss = 0.0383
138 epoch, training accuracy: 58.07%, loss = 0.0383
139 epoch, training accuracy: 57.87%, loss = 0.0382
140 epoch, training accuracy: 58.50%, loss = 0.0377
141 epoch, training accuracy: 57.72%, loss = 0.0383
142 epoch, training accuracy: 57.47%, loss = 0.0383
143 epoch, training accuracy: 57.66%, loss = 0.0384
144 epoch, training accuracy: 57.99%, loss = 0.0377
145 epoch, training accuracy: 58.02%, loss = 0.0382
146 epoch, training accuracy: 58.04%, loss = 0.0379
147 epoch, training accuracy: 57.87%, loss = 0.0380
148 epoch, training accuracy: 57.99%, loss = 0.0382
149 epoch, training accuracy: 58.53%, loss = 0.0382
150 epoch, training accuracy: 58.23%, loss = 0.0382
Finished Training
