1 epoch, training accuracy: 27.9700%, loss = 0.0608
40 epoch, training accuracy: 68.9000%, loss = 0.0275

41 epoch, training accuracy: 69.3240%, loss = 0.0273
42 epoch, training accuracy: 69.0160%, loss = 0.0273
43 epoch, training accuracy: 69.0200%, loss = 0.0274
44 epoch, training accuracy: 69.2140%, loss = 0.0273
45 epoch, training accuracy: 69.2600%, loss = 0.0272
46 epoch, training accuracy: 69.3240%, loss = 0.0271
47 epoch, training accuracy: 69.4560%, loss = 0.0272
48 epoch, training accuracy: 69.2060%, loss = 0.0272
49 epoch, training accuracy: 69.6640%, loss = 0.0270
50 epoch, training accuracy: 69.3740%, loss = 0.0270

51 epoch, training accuracy: 69.9720%, loss = 0.0267
52 epoch, training accuracy: 69.8040%, loss = 0.0267
53 epoch, training accuracy: 69.7120%, loss = 0.0269
54 epoch, training accuracy: 69.7260%, loss = 0.0266
55 epoch, training accuracy: 69.7280%, loss = 0.0267
56 epoch, training accuracy: 70.0140%, loss = 0.0266
57 epoch, training accuracy: 69.9240%, loss = 0.0267
58 epoch, training accuracy: 70.0220%, loss = 0.0266
59 epoch, training accuracy: 69.9740%, loss = 0.0266
60 epoch, training accuracy: 69.8980%, loss = 0.0267

61 epoch, training accuracy: 70.1020%, loss = 0.0265
62 epoch, training accuracy: 70.0520%, loss = 0.0267
63 epoch, training accuracy: 70.0020%, loss = 0.0265
64 epoch, training accuracy: 70.0880%, loss = 0.0266
65 epoch, training accuracy: 69.9140%, loss = 0.0267
66 epoch, training accuracy: 70.1340%, loss = 0.0266
67 epoch, training accuracy: 70.1200%, loss = 0.0266
68 epoch, training accuracy: 70.0160%, loss = 0.0265
69 epoch, training accuracy: 69.9020%, loss = 0.0264
70 epoch, training accuracy: 69.9720%, loss = 0.0266

71 epoch, training accuracy: 70.0040%, loss = 0.0265
72 epoch, training accuracy: 70.2160%, loss = 0.0265
73 epoch, training accuracy: 70.0780%, loss = 0.0266
74 epoch, training accuracy: 70.1300%, loss = 0.0265
75 epoch, training accuracy: 70.1620%, loss = 0.0265
76 epoch, training accuracy: 69.9780%, loss = 0.0265
77 epoch, training accuracy: 70.0580%, loss = 0.0265
78 epoch, training accuracy: 70.2860%, loss = 0.0266
79 epoch, training accuracy: 70.1780%, loss = 0.0266
80 epoch, training accuracy: 70.3880%, loss = 0.0264

81 epoch, training accuracy: 70.1280%, loss = 0.0265
82 epoch, training accuracy: 70.0580%, loss = 0.0265
83 epoch, training accuracy: 69.8820%, loss = 0.0265
84 epoch, training accuracy: 69.9740%, loss = 0.0266
85 epoch, training accuracy: 70.2980%, loss = 0.0264
86 epoch, training accuracy: 70.0800%, loss = 0.0265
87 epoch, training accuracy: 69.8480%, loss = 0.0266
88 epoch, training accuracy: 69.9300%, loss = 0.0267
89 epoch, training accuracy: 70.0620%, loss = 0.0266
90 epoch, training accuracy: 70.0360%, loss = 0.0265

91 epoch, training accuracy: 70.0460%, loss = 0.0265
92 epoch, training accuracy: 70.4220%, loss = 0.0264
93 epoch, training accuracy: 70.1480%, loss = 0.0264
94 epoch, training accuracy: 70.1260%, loss = 0.0264
95 epoch, training accuracy: 70.0300%, loss = 0.0265
96 epoch, training accuracy: 70.1740%, loss = 0.0266
97 epoch, training accuracy: 70.0440%, loss = 0.0265
98 epoch, training accuracy: 70.1180%, loss = 0.0265
99 epoch, training accuracy: 69.7680%, loss = 0.0266
100 epoch, training accuracy: 70.1240%, loss = 0.0265

